@relation text_classification
@attribute cover_present numeric
@attribute fan_count numeric
@attribute talking_about_count numeric
@attribute were_here_count numeric
@attribute checkins numeric
@attribute total_posts numeric
@attribute total_likes numeric
@attribute total_comments numeric
@attribute total_shares numeric
@attribute total_posts_by_owner numeric
@attribute total_photos numeric
@attribute total_words_about numeric
@attribute avg_words_post numeric
@attribute avg_words_comment numeric
@attribute mean_posts_month numeric
@attribute mean_comments_month numeric
@attribute category? {0,1}
@data
1,352,5,134,134,35,60,4,0,0,7,0,6.40,8.75,1.65,1.65,1
0,32,2,283,283,0,0,0,0,0,0,0,0,0,0,0,1
1,826,268,14154,14154,0,0,0,0,0,0,0,0,0,0,0,1
0,109,14,1867,1867,0,0,0,0,0,0,0,0,0,0,0,1
0,122,2,1196,1196,0,0,0,0,0,0,0,0,0,0,0,1
1,52,11,369,369,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,231,18,0,31,8,33,9,0,0,4,0,50.00,0.89,0.49,0.49,1
1,193,5,91,91,1,2,0,0,0,0,0,38.00,0,0.25,0.25,1
1,146,24,2161,2161,1,1,0,0,0,1,0,1.00,0,0.52,0.52,1
1,41,8,542,542,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2,241,241,0,0,0,0,0,0,0,0,0,0,0,0
1,163,25,2710,2710,0,0,0,0,0,0,0,0,0,0,0,1
0,8,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0
0,36,8,1302,1302,0,0,0,0,0,0,0,0,0,0,0,1
1,3580,205,18907,18907,24,168,5,6,0,10,0,34.54,4.60,0.99,0.95,1
1,134,9,2095,2095,0,0,0,0,0,0,0,0,0,0,0,0
1,284,1,8,8,16,37,5,51,0,5,0,14.75,3.20,1.22,1.22,1
0,15,16,106,106,0,0,0,0,0,0,0,0,0,0,0,0
1,72,22,1307,1307,0,0,0,0,0,0,0,0,0,0,0,1
0,27,0,38,38,0,0,0,0,0,0,0,0,0,0,0,1
1,16,3,358,358,0,0,0,0,0,0,0,0,0,0,0,0
1,51,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0
0,38,1,1365,1365,0,0,0,0,0,0,0,0,0,0,0,0
0,106,24,2158,2158,1,3,4,0,0,1,0,5.00,0.25,0.52,0.52,1
1,274,88,6158,6158,0,0,0,0,0,0,0,0,0,0,0,0
1,40,17,883,883,0,0,0,0,0,0,0,0,0,0,0,0
1,24,7,384,384,0,0,0,0,0,0,0,0,0,0,0,1
0,93,0,325,325,0,0,0,0,0,0,0,0,0,0,0,0
